timestamp,stake_mult,prob_up_BTCUSDT,prob_down_BTCUSDT,actual_BTCUSDT,signal_BTCUSDT,dir_BTCUSDT,prob_up_ETHUSDT,prob_down_ETHUSDT,actual_ETHUSDT,signal_ETHUSDT,dir_ETHUSDT,prob_up_XRPUSDT,prob_down_XRPUSDT,actual_XRPUSDT,signal_XRPUSDT,dir_XRPUSDT
2025-10-07 16:00:00+00:00,1.0,0.5013728,0.4986272,0,0,0,0.49629104,0.50370896,0,0,0,0.5085874,0.49141258,0,0,0
2025-10-07 17:00:00+00:00,1.0,0.5182671,0.4817329,0,1,1,0.5130428,0.4869572,0,1,1,0.5156813,0.48431867,0,0,0
2025-10-07 18:00:00+00:00,1.0,0.51860726,0.48139274,1,1,1,0.50817025,0.49182975,1,0,0,0.5153362,0.48466378,0,0,0
2025-10-07 19:00:00+00:00,1.0,0.50645626,0.49354374,1,0,0,0.5061424,0.49385762,1,0,0,0.51227254,0.48772746,1,0,0
2025-10-07 20:00:00+00:00,1.0,0.502952,0.49704802,1,0,0,0.4949008,0.5050992,0,0,0,0.5086204,0.49137962,1,0,0
2025-10-07 21:00:00+00:00,1.0,0.5117756,0.4882244,0,0,0,0.51649487,0.48350513,1,1,1,0.5049375,0.49506247,0,0,0
2025-10-07 22:00:00+00:00,1.0,0.5081785,0.49182153,0,0,0,0.504645,0.495355,0,0,0,0.5122952,0.4877048,0,0,0
2025-10-07 23:00:00+00:00,1.0,0.51588416,0.48411584,1,1,1,0.5181787,0.4818213,1,1,1,0.51432556,0.48567444,1,0,0
2025-10-08 00:00:00+00:00,1.0,0.49341607,0.5065839,1,0,0,0.49155656,0.5084435,1,0,0,0.5033561,0.4966439,1,0,0
2025-10-08 01:00:00+00:00,1.0,0.5030587,0.49694133,1,0,0,0.49021322,0.5097868,0,1,-1,0.5027751,0.49722493,0,0,0
2025-10-08 02:00:00+00:00,1.0,0.5067678,0.4932322,0,0,0,0.5081019,0.49189812,0,0,0,0.5136066,0.4863934,0,0,0
2025-10-08 03:00:00+00:00,1.0,0.5260205,0.47397947,1,1,1,0.52664375,0.47335625,1,1,1,0.51620704,0.48379296,1,1,1
2025-10-08 04:00:00+00:00,1.0,0.49829152,0.5017085,0,0,0,0.5096845,0.4903155,0,1,1,0.501837,0.49816298,0,0,0
2025-10-08 05:00:00+00:00,1.0,0.5253781,0.4746219,1,1,1,0.5231542,0.4768458,1,1,1,0.50068164,0.49931836,1,0,0
